PUBCHEM_SID	PUBCHEM_CID
144205195	892
144205196	11850
144205197	11850
144205198	6503
144205199	6651
144205200	6300
144205201	5564
144205202	5386
144205203	2294
144205204	8269
144205205	8269
144205206	10230
144205207	5483
144205208	5284607
144205209	7347
144205210	5634
144205211	1080
144205212	441207
144205213	5281915
144205214	3608
144205215	3608
144205216	876
144205217	4674
144205218	9330
144205219	92386
144205220	92876
144205221	15103
144205222	3958
144205223	5391
144205224	28620
144205225	6036
144205226	9564
144205227	699414
144205228	11061
144205229	11061
144205230	7183
144205231	5480
144205232	337359
144205233	60490
144205234	38409
144205235	38409
144205236	123631
144205237	123596
144205238	60822
144205239	5281078
144205240	5462355
144205241	10885665
144205242	17756783
144205243	17756783
144205244	33255
144205245	2118
144205246	15558682
144205247	71563
144205248	1201549
144205249	2724368
144205250	3337
144205251	5876
144205252	32778
144205253	14868
144205254	6855
144205255	7151
144205256	3821
144205257	3821
144205258	5282219
144205259	117965
144205260	12947
144205261	7057995
144205262	6093170
144205263	464
144205264	54680691
144205265	15165
144205266	4763
144205267	493570
144205268	3032361
144205269	3032361
144205270	62853
144205271	235905
144205272	31477
144205273	5953
144205274	7232
144205275	5877
144205276	11088
144205277	14878
144205278	2893
144205279	30951
144205280	32343
144205281	60795
144205282	2484
144205283	6398970
144205284	92088
144205285	50599
144205286	969472
144205287	54677470
144205288	54911
144205289	14720269
144205290	443879
144205291	60772
144205292	68740
144205293	27447
144205294	23665410
144205295	3025067
144205296	65909
144205297	443375
144205298	208953
144205299	443872
144205300	5478883
144205301	68313
144205302	11082
144205303	5458876
144205304	5324289
144205305	120081
144205306	5282060
144205307	65760
144205308	65940
144205309	5284442
144205310	54704052
144205311	19592
144205312	22833303
144205313	30717
144205314	68940
144205315	5399858
144205316	10252
144205317	65770
144205318	66909
144205319	594
144205320	6764
144205321	5360232
144205322	42725
144205323	26483
144205324	96424
144205325	71518
144205326	36102
144205327	39328
144205328	32593
144205329	28718
144205330	5280363
144205331	5311100
144205332	16351
144205333	49381
144205334	
144205335	636369
144205336	107921
144205337	443945
144205338	56463
144205339	5282435
144205340	9868041
144205341	28871
144205342	28446
144205343	11350
144205344	9862176
144205345	17756939
144205346	6237
144205347	65614
144205348	11043
144205349	65776
144205350	12938
144205351	36190
144205352	71821
144205353	5282198
144205354	71267
144205355	194699
144205356	6018
144205357	65477
144205358	2292
144205359	160796
144205360	65682
144205361	68835
144205362	68909
144205363	14604
144205364	24361
144205365	68706
144205366	71894
144205367	69594
144205368	2447
144205369	6434871
144205370	13756
144205371	27448
144205372	28858
144205373	2018
144205374	15250
144205375	39299
144205376	70374
144205377	26436
144205378	41109
144205379	8614
144205380	68888
144205381	68907
144205382	17756940
144205383	72073
144205384	16564
144205385	62436
144205386	62751
144205387	11147
144205388	5280933
144205389	68662
144205390	5281233
144205391	21847
144205392	5390109
144205393	161562
144205394	219081
144205395	6075
144205396	72157
144205397	9047
144205398	969494
144205399	3275
144205400	8708
144205401	13113
144205402	62529
144205403	71116
144205404	18484
144205405	65600
144205406	27918
144205407	71234
144205408	10832
144205409	65630
144205410	68947
144205411	65684
144205412	197861
144205413	65790
144205414	12597
144205415	667483
144205416	155143
144205417	3686
144205418	65944
144205419	21453
144205420	60605
144205421	5310993
144205422	12560
144205423	5284580
144205424	170327
144205425	5719
144205426	68664
144205427	119583
144205428	128798
144205429	5487
144205430	3005572
144205431	10476437
144205432	68942
144205433	10046567
144205434	68363
144205435	60172
144205436	15763
144205437	71321
144205438	31060
144205439	12358742
144205440	250948
144205441	71671
144205442	9454
144205443	71693
144205444	16837
144205445	60196286
144205446	6719
144205447	68939
144205448	9570327
144205449	31475
144205450	70846
144205451	37384
144205452	37910
144205453	5358572
144205454	19918
144205455	10944
144205456	7572
144205457	65620
144205458	11310
144205459	24188465
144205460	21583
144205461	31343
144205462	15568
144205463	71818
144205464	6194
144205465	65596
144205466	71645
144205467	4602
144205468	8298
144205469	10404
144205470	264852
144205471	8961
144205472	14369
144205473	90202
144205474	32322
144205475	5358237
144205476	19917
144205477	24107
144205478	68089
144205479	71839
144205480	10646
144205481	21798
144205482	72068
144205483	101576
